temperature,humidity,heat_index,pressure,datetime
27.06,85.39,30.41,1000.42,2025-03-04 00:32:01.203245
27.17,85.44,30.7,1000.41,2025-03-04 00:33:01.020789
27.24,84.99,30.85,1000.41,2025-03-04 00:34:01.073061
27.21,84.74,30.72,1000.48,2025-03-04 00:35:01.138341
27.35,84.9,31.13,1000.37,2025-03-04 00:36:01.188895
27.32,85.0,31.04,1000.4,2025-03-04 00:37:01.189252
27.24,84.62,30.8,1000.38,2025-03-04 00:38:01.350593
26.76,86.91,29.8,1000.38,2025-03-04 00:39:01.447590
27.0,86.63,30.4,1000.37,2025-03-04 00:40:01.674026
27.1,85.96,30.57,1000.35,2025-03-04 00:41:01.287283
27.23,85.13,30.81,1000.31,2025-03-04 00:42:01.730144
27.08,85.01,30.42,1000.28,2025-03-04 00:43:00.233992
26.67,86.83,29.55,1000.23,2025-03-04 00:44:01.006087
26.56,87.94,26.56,1000.15,2025-03-04 00:45:01.672779
26.43,87.74,26.43,1000.13,2025-03-04 00:46:00.112283
26.54,87.6,26.54,1000.18,2025-03-04 00:47:00.753932
